method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
winner_xfg::winner_xfg_edge_attack,5,7,30,30,30,4,0.13333333333333333,1.0,0.1709972426448341
winner_xfg::winner_xfg_edge_attack,5,17,30,30,30,4,0.13333333333333333,1.0,0.1709972425216885
winner_xfg::winner_xfg_edge_attack,5,29,30,30,30,4,0.13333333333333333,1.0,0.1709972438962988
winner_xfg::winner_xfg_edge_attack,5,42,30,30,30,4,0.13333333333333333,1.0,0.17099724835694588
winner_xfg::winner_xfg_edge_attack,5,61,30,30,30,4,0.13333333333333333,1.0,0.17099724363927732
winner_xfg::winner_xfg_edge_attack,5,73,30,30,30,4,0.13333333333333333,1.0,0.17099724438330288
winner_xfg::winner_xfg_edge_attack,5,89,30,30,30,4,0.13333333333333333,1.0,0.1709972441349502
winner_xfg::winner_xfg_edge_attack,5,101,30,30,30,4,0.13333333333333333,1.0,0.1709972441349502
winner_xfg::winner_xfg_edge_attack,5,137,30,30,30,4,0.13333333333333333,1.0,0.1709972441349502
winner_xfg::winner_xfg_edge_attack,5,2026,30,30,30,4,0.13333333333333333,1.0,0.1709972441359827
winner_xfg::winner_xfg_feature_mask,1,7,30,30,30,3,0.1,1.0,0.11667031624179013
winner_xfg::winner_xfg_feature_mask,1,17,30,30,30,3,0.1,1.0,0.11667031684342034
winner_xfg::winner_xfg_feature_mask,1,29,30,30,30,3,0.1,1.0,0.1166703162417896
winner_xfg::winner_xfg_feature_mask,1,42,30,30,30,3,0.1,1.0,0.11667031624162534
winner_xfg::winner_xfg_feature_mask,1,61,30,30,30,3,0.1,1.0,0.1166703162247214
winner_xfg::winner_xfg_feature_mask,1,73,30,30,30,3,0.1,1.0,0.11667031622456983
winner_xfg::winner_xfg_feature_mask,1,89,30,30,30,3,0.1,1.0,0.11667031624209276
winner_xfg::winner_xfg_feature_mask,1,101,30,30,30,3,0.1,1.0,0.11667031624194117
winner_xfg::winner_xfg_feature_mask,1,137,30,30,30,3,0.1,1.0,0.11667031686468736
winner_xfg::winner_xfg_feature_mask,1,2026,30,30,30,3,0.1,1.0,0.1166703167385637
winner_xfg::winner_xfg_feature_mask,3,7,30,30,30,4,0.13333333333333333,1.0,0.12061866870870429
winner_xfg::winner_xfg_feature_mask,3,17,30,30,30,4,0.13333333333333333,1.0,0.12061867064900324
winner_xfg::winner_xfg_feature_mask,3,29,30,30,30,4,0.13333333333333333,1.0,0.12061866866213816
winner_xfg::winner_xfg_feature_mask,3,42,30,30,30,4,0.13333333333333333,1.0,0.12061867064891417
winner_xfg::winner_xfg_feature_mask,3,61,30,30,30,4,0.13333333333333333,1.0,0.12061867095861228
